,input,filtered
WS-17-4-F_R1_001.ITS1.fastq.gz,34026,29796
WS-17-5-F_R1_001.ITS1.fastq.gz,40580,37066
WS-18-1-F_R1_001.ITS1.fastq.gz,39582,36309
WS-18-2-F_R1_001.ITS1.fastq.gz,36637,32864
WS-18-3-F_R1_001.ITS1.fastq.gz,19643,17274
WS-18-4-F_R1_001.ITS1.fastq.gz,10388,8885
WS-18-5-F_R1_001.ITS1.fastq.gz,25248,23102
WS-19-1-F_R1_001.ITS1.fastq.gz,456,343
WS-19-2-F_R1_001.ITS1.fastq.gz,31044,27566
WS-19-3-F_R1_001.ITS1.fastq.gz,37398,33071
WS-19-4-F_R1_001.ITS1.fastq.gz,33801,31109
WS-19-5-F_R1_001.ITS1.fastq.gz,32134,28038
WS-20-1-F_R1_001.ITS1.fastq.gz,11978,10404
WS-20-2-F_R1_001.ITS1.fastq.gz,43839,39643
WS-20-3-F_R1_001.ITS1.fastq.gz,77926,70878
WS-20-4-F_R1_001.ITS1.fastq.gz,53569,48115
WS-20-5-F_R1_001.ITS1.fastq.gz,97355,88132
WS-21-1-F_R1_001.ITS1.fastq.gz,1255,753
WS-21-2-F_R1_001.ITS1.fastq.gz,26204,23424
WS-21-3-F_R1_001.ITS1.fastq.gz,50239,44749
WS-21-4-F_R1_001.ITS1.fastq.gz,5260,4676
WS-21-5-F_R1_001.ITS1.fastq.gz,466,305
WS-2-1-F_R1_001.ITS1.fastq.gz,54017,49349
WS-22-1-F_R1_001.ITS1.fastq.gz,25067,20733
WS-22-2-F_R1_001.ITS1.fastq.gz,56173,49811
WS-22-3-F_R1_001.ITS1.fastq.gz,55601,48529
WS-22-4-F_R1_001.ITS1.fastq.gz,54754,49100
WS-22-5-F_R1_001.ITS1.fastq.gz,45112,35957
WS-2-2-F_R1_001.ITS1.fastq.gz,36822,33324
WS-23-1-F_R1_001.ITS1.fastq.gz,42696,37539
WS-23-2-F_R1_001.ITS1.fastq.gz,1912,1701
WS-23-3-F_R1_001.ITS1.fastq.gz,5951,5723
WS-23-4-F_R1_001.ITS1.fastq.gz,37398,35134
WS-23-5-F_R1_001.ITS1.fastq.gz,229,113
WS-2-3-F_R1_001.ITS1.fastq.gz,17067,15974
WS-24-1-F_R1_001.ITS1.fastq.gz,42500,38956
WS-24-2-F_R1_001.ITS1.fastq.gz,66956,63129
WS-24-3-F_R1_001.ITS1.fastq.gz,55713,48694
WS-24-4-F_R1_001.ITS1.fastq.gz,8465,8153
WS-24-5-F_R1_001.ITS1.fastq.gz,60,24
WS-2-4-F_R1_001.ITS1.fastq.gz,23137,20978
WS-25-1-F_R1_001.ITS1.fastq.gz,17617,16532
WS-25-2-F_R1_001.ITS1.fastq.gz,18258,16381
WS-25-3-F_R1_001.ITS1.fastq.gz,49516,44345
WS-25-4-F_R1_001.ITS1.fastq.gz,47791,41742
WS-25-5-F_R1_001.ITS1.fastq.gz,41919,38875
WS-2-5-F_R1_001.ITS1.fastq.gz,55647,51789
WS-26-1-F_R1_001.ITS1.fastq.gz,41330,36036
WS-26-2-F_R1_001.ITS1.fastq.gz,32240,29923
WS-26-3-F_R1_001.ITS1.fastq.gz,1419,1298
WS-26-4-F_R1_001.ITS1.fastq.gz,5,3
WS-26-5-F_R1_001.ITS1.fastq.gz,10,10
WS-27-1-F_R1_001.ITS1.fastq.gz,15,12
WS-27-2-F_R1_001.ITS1.fastq.gz,31,27
WS-27-3-F_R1_001.ITS1.fastq.gz,12,11
WS-27-4-F_R1_001.ITS1.fastq.gz,27,20
WS-27-5-F_R1_001.ITS1.fastq.gz,6,5
WS-28-1-F_R1_001.ITS1.fastq.gz,7,5
WS-28-2-F_R1_001.ITS1.fastq.gz,12,12
WS-28-3-F_R1_001.ITS1.fastq.gz,9,9
WS-28-4-F_R1_001.ITS1.fastq.gz,10,10
WS-28-5-F_R1_001.ITS1.fastq.gz,11,11
WS-29-1-F_R1_001.ITS1.fastq.gz,20,20
WS-29-2-F_R1_001.ITS1.fastq.gz,18,18
WS-29-3-F_R1_001.ITS1.fastq.gz,8,8
WS-29-4-F_R1_001.ITS1.fastq.gz,3,2
WS-29-5-F_R1_001.ITS1.fastq.gz,16014,15018
WS-30-1-F_R1_001.ITS1.fastq.gz,206,82
WS-30-2-F_R1_001.ITS1.fastq.gz,36734,33917
WS-30-3-F_R1_001.ITS1.fastq.gz,55490,52239
WS-30-4-F_R1_001.ITS1.fastq.gz,60552,58456
WS-30-5-F_R1_001.ITS1.fastq.gz,62984,57994
WS-3-1-F_R1_001.ITS1.fastq.gz,24488,22893
WS-3-2-F_R1_001.ITS1.fastq.gz,48590,43810
WS-3-3-F_R1_001.ITS1.fastq.gz,50341,48757
WS-3-4-F_R1_001.ITS1.fastq.gz,48065,45459
WS-3-5-F_R1_001.ITS1.fastq.gz,24939,21019
WS-4-1-F_R1_001.ITS1.fastq.gz,1885,1780
WS-4-2-F_R1_001.ITS1.fastq.gz,7,6
WS-4-3-F_R1_001.ITS1.fastq.gz,50746,47183
WS-4-4-F_R1_001.ITS1.fastq.gz,249,161
WS-4-5-F_R1_001.ITS1.fastq.gz,31520,30478
WS-5-1-F_R1_001.ITS1.fastq.gz,239,149
WS-5-2-F_R1_001.ITS1.fastq.gz,38008,36613
WS-5-3-F_R1_001.ITS1.fastq.gz,359,263
WS-5-4-F_R1_001.ITS1.fastq.gz,25,8
WS-5-5-F_R1_001.ITS1.fastq.gz,15,10
WS-6-1-F_R1_001.ITS1.fastq.gz,17124,16392
WS-6-2-F_R1_001.ITS1.fastq.gz,548,421
WS-6-3-F_R1_001.ITS1.fastq.gz,5847,5335
WS-6-4-F_R1_001.ITS1.fastq.gz,1695,1276
WS-6-5-F_R1_001.ITS1.fastq.gz,4381,4107
WS-7-1-F_R1_001.ITS1.fastq.gz,349,217
WS-7-2-F_R1_001.ITS1.fastq.gz,3441,3337
WS-7-4-F_R1_001.ITS1.fastq.gz,3,1
WS-7-5-F_R1_001.ITS1.fastq.gz,15,12
WS-8-1-F_R1_001.ITS1.fastq.gz,5,3
WS-8-2-F_R1_001.ITS1.fastq.gz,21,17
WS-8-3-F_R1_001.ITS1.fastq.gz,6,4
WS-8-4-F_R1_001.ITS1.fastq.gz,8,7
WS-8-5-F_R1_001.ITS1.fastq.gz,0,0
WS-9-1-F_R1_001.ITS1.fastq.gz,0,0
WS-9-2-F_R1_001.ITS1.fastq.gz,11,10
WS-9-4-F_R1_001.ITS1.fastq.gz,0,0
WS-9-5-F_R1_001.ITS1.fastq.gz,9,9
WS-Neg-1-F_R1_001.ITS1.fastq.gz,136,61
WS-Neg-2-F_R1_001.ITS1.fastq.gz,70,37
WS-Neg-3-F_R1_001.ITS1.fastq.gz,207,132
WS-Pos-1-F_R1_001.ITS1.fastq.gz,404,240
